tag,algo,repeat,fold,model__estimator__depth,model__estimator__iterations,model__estimator__l2_leaf_reg,model__estimator__learning_rate,model__n_features_to_select,model__estimator__class_weight,model__estimator__max_depth,model__estimator__max_features,model__estimator__min_samples_leaf,model__estimator__colsample_bytree,model__estimator__min_child_weight,model__estimator__n_estimators,model__estimator__reg_lambda,model__estimator__subsample,model__C,model__l1_ratio
L4r,rf,2,0,,,,,18.0,,2.0,sqrt,12.0,,,,,,,
L4r,rf,2,1,,,,,6.0,balanced,3.0,0.5,7.0,,,,,,,
L4r,rf,2,2,,,,,18.0,,2.0,0.5,3.0,,,,,,,
L4r,rf,2,3,,,,,18.0,,2.0,0.33,10.0,,,,,,,
L4r,rf,2,4,,,,,12.0,balanced,4.0,0.5,2.0,,,,,,,
L1,xgb,0,0,,,,0.02332005833974744,9.0,,1.0,,,0.6487673032722361,2.417917724332946,142.0,10.002602971711909,0.7919908689500229,,
L1,xgb,0,1,,,,0.08502556424958278,6.0,,1.0,,,0.6147886068649128,2.6139952999364033,145.0,2.4489219684476113,0.9756511157694503,,
L1,xgb,0,2,,,,0.07856597163211808,6.0,,2.0,,,0.7415349177758759,4.102321512964365,157.0,0.7769477606976705,0.6594259133957395,,
L1,xgb,0,3,,,,0.058922310650579755,9.0,,2.0,,,0.9044646018957752,1.2365651677021314,111.0,9.120383671583138,0.8854262988613986,,
L1,xgb,0,4,,,,0.20863498781716952,6.0,,4.0,,,0.5879306166170991,2.56120216433904,135.0,12.395190064436475,0.934102682833958,,
L1,xgb,1,0,,,,0.032212712624635244,6.0,,1.0,,,0.6721198387339504,6.946095087981958,82.0,8.641034251606408,0.9626602393154923,,
L1,xgb,1,1,,,,0.07743132943369542,9.0,,1.0,,,0.9131050098891782,2.25291803498023,79.0,10.156715452689486,0.9266823798178718,,
L1,xgb,1,2,,,,0.022607895655653215,6.0,,1.0,,,0.8462373261872919,2.6325660357022693,126.0,0.8710747717993838,0.7353342287462796,,
L1,xgb,1,3,,,,0.03544789629047813,9.0,,1.0,,,0.6804826647208595,2.594338347754144,48.0,2.437839285711044,0.8258170438825301,,
L1,xgb,1,4,,,,0.22954757274208115,9.0,,4.0,,,0.5352801898227157,2.2060923899346996,90.0,15.289209489106026,0.6822406904941329,,
L1,xgb,2,0,,,,0.09135836416083998,6.0,,4.0,,,0.563191573625079,2.8730953345315378,132.0,14.312466552262952,0.890799479107806,,
L1,xgb,2,1,,,,0.024905259937668896,9.0,,3.0,,,0.5835628214545507,1.559018628515234,120.0,4.938819278980657,0.7702407870103768,,
L1,xgb,2,2,,,,0.07756275017531788,6.0,,3.0,,,0.6475777999087737,1.0403356855754402,102.0,9.134738380499103,0.6383483728178364,,
L1,xgb,2,3,,,,0.06684811338425785,9.0,,3.0,,,0.7461451771988842,3.3775754082042995,151.0,11.37756740986386,0.6753448193589526,,
L1,xgb,2,4,,,,0.033391150730093036,6.0,,2.0,,,0.7751007873092031,2.044195411496171,139.0,7.1757048678998085,0.6477848558021985,,
L2,xgb,0,0,,,,0.1387260300054608,6.0,,4.0,,,0.7744067519636624,7.210171877207321,143.0,2.386109712430462,0.8583576452266624,,
L2,xgb,0,1,,,,0.13023887067710177,12.0,,2.0,,,0.7665826424865085,1.387139489318075,66.0,10.866517932072755,0.6073153109376767,,
L2,xgb,0,2,,,,0.1677474003446763,14.0,,3.0,,,0.5922199328234576,3.5172830560296924,107.0,0.6707595065187708,0.8020984360486816,,
L2,xgb,0,3,,,,0.13610574590229876,12.0,,1.0,,,0.7753989512872878,1.3222956864748283,61.0,13.474870319267795,0.9585172355733752,,
L2,xgb,0,4,,,,0.037160005521606275,6.0,,1.0,,,0.5178790917926408,3.345061293976066,134.0,1.6047491261477194,0.6964154411846551,,
