tag,algo,imputer,repeat,fold,auc,inner_auc,n_train,n_test,seconds,kind
L5,rf,median,0,3,0.872053872053872,0.8625330687830687,151,38,28.844165086746216,cv
L5,rf,median,0,4,0.962962962962963,0.8633267195767196,152,37,31.021158695220947,cv
L5,rf,median,1,0,0.875,0.8602693602693602,151,38,27.89132070541382,cv
L5,rf,median,1,1,0.8956228956228957,0.8695797258297259,151,38,39.74583292007446,cv
L5,rf,median,1,2,0.9158249158249158,0.8789141414141414,151,38,32.87743830680847,cv
L5,rf,median,1,3,0.9629629629629629,0.840815897065897,151,38,34.13172125816345,cv
L5,rf,median,1,4,0.7703703703703703,0.9070737133237132,152,37,35.97138476371765,cv
L5,rf,median,2,0,0.8428571428571429,0.9093434343434342,151,38,29.98311185836792,cv
L5,rf,median,2,1,0.771043771043771,0.9151244588744588,151,38,35.2353572845459,cv
L5,rf,median,2,2,0.8956228956228957,0.8730790043290043,151,38,29.297972440719604,cv
L5,rf,median,2,3,0.973063973063973,0.8248827561327561,151,38,36.065306186676025,cv
L5,rf,median,2,4,0.9259259259259259,0.8984758297258297,152,37,31.087430953979492,cv
L4r,rf,median,0,0,0.9142857142857144,0.9446969696969696,151,38,36.33934235572815,cv
L4r,rf,median,0,1,0.9898989898989898,0.9192279942279942,151,38,29.83736515045166,cv
L4r,rf,median,0,2,0.8249158249158249,0.9365710678210678,151,38,35.17595553398132,cv
L4r,rf,median,0,3,0.9158249158249159,0.9162968975468975,151,38,32.694071531295776,cv
L4r,rf,median,0,4,0.925925925925926,0.9096500721500722,152,37,36.76995801925659,cv
L4r,rf,median,1,0,0.9285714285714286,0.9121212121212121,151,38,32.298494815826416,cv
L4r,rf,median,1,1,0.9730639730639731,0.8898719336219335,151,38,34.535146951675415,cv
L4r,rf,median,1,2,0.9562289562289562,0.9105579605579605,151,38,28.2271785736084,cv
L4r,rf,median,1,3,1.0,0.8837421837421837,151,38,31.515514373779297,cv
L4r,rf,median,1,4,0.7296296296296296,0.9585738335738336,152,37,31.066854238510132,cv
L4r,rf,median,2,0,0.8535714285714285,0.9384680134680136,151,38,34.856212854385376,cv
L4r,rf,median,2,1,0.8484848484848485,0.9485810485810485,151,38,29.978792428970337,cv
L4r,rf,median,2,2,0.9663299663299663,0.9111020923520923,151,38,29.968740940093994,cv
L4r,rf,median,2,3,0.962962962962963,0.8875420875420875,151,38,34.0228054523468,cv
L4r,rf,median,2,4,0.937037037037037,0.9221230158730158,152,37,32.36793565750122,cv
L5,rf,mean,0,0,0.9178571428571429,0.8702020202020202,151,38,31.760899782180786,sens
L5,rf,mean,0,1,0.882154882154882,0.8699434824434824,151,38,28.136021614074707,sens
L5,rf,mean,0,2,0.7946127946127947,0.8882245069745069,151,38,28.234966278076172,sens
L5,rf,mean,0,3,0.872053872053872,0.8692159692159692,151,38,26.43533444404602,sens
L5,rf,mean,0,4,0.9703703703703703,0.8658519721019722,152,37,27.93096089363098,sens
L5,rf,knn,0,0,0.9178571428571429,0.8932659932659932,151,38,24.56019878387451,sens
L5,rf,knn,0,1,0.9225589225589226,0.8772997835497836,151,38,27.732247829437256,sens
